iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
560,0.058809204,0.057643347,0.058550885,0.854967586,0.860696517,0.851198553,4.698860044
570,0.057945611,0.056625525,0.057763881,0.857229006,0.862505654,0.853459973,4.784701546
580,0.057848137,0.056810979,0.057739052,0.855721393,0.860696517,0.847127996,4.86454997
590,0.057946033,0.057000231,0.057756164,0.856927484,0.858435097,0.848032564,4.94424911
600,0.05782243,0.056887247,0.057778789,0.855118348,0.860244233,0.846675712,5.024980856
610,0.057538917,0.05690532,0.057637451,0.857229006,0.861148801,0.847127996,5.106001127
620,0.05692794,0.0561799,0.057062419,0.859339665,0.867028494,0.84758028,5.186722573
630,0.056821137,0.056288375,0.056908199,0.859490427,0.861601085,0.850293985,5.267258135
640,0.055534609,0.055283205,0.055842825,0.867933062,0.86657621,0.861601085,5.346736115
650,0.050198673,0.049696703,0.050067271,0.879390924,0.875169607,0.874717322,5.425976307
660,0.049919332,0.049380583,0.049918103,0.881501583,0.878787879,0.875169607,5.505637542
670,0.049928039,0.049390174,0.049966308,0.880295492,0.878335595,0.876074175,5.585910335
680,0.04958513,0.049003759,0.049642407,0.882707674,0.879692447,0.876978743,5.664912441
690,0.049407522,0.048480014,0.04939755,0.880446254,0.884215287,0.875169607,5.744485003
700,0.049013649,0.048183014,0.048969613,0.881652344,0.888285844,0.870646766,5.824704192
710,0.046697863,0.045790577,0.046904509,0.890999548,0.893260968,0.883310719,5.904424147
720,0.046679522,0.045859673,0.046881288,0.891904116,0.89461782,0.885119855,5.984549392
730,0.046573417,0.045725829,0.04679739,0.893713252,0.89687924,0.884215287,6.064723226
740,0.046497965,0.045923518,0.04651833,0.891451832,0.893713252,0.881953867,6.144644669
750,0.046103602,0.045345626,0.046328205,0.896426956,0.89687924,0.885572139,6.225337998
760,0.045095694,0.044542217,0.044754994,0.89461782,0.89687924,0.884667571,6.305416393
770,0.044977374,0.044310031,0.044638774,0.89461782,0.898688376,0.887833559,6.386920417
780,0.04447649,0.043796469,0.043964772,0.896125433,0.900045228,0.889642696,6.467837639
790,0.042009559,0.041390686,0.041733171,0.899743706,0.902306649,0.897783808,6.548404236
800,0.04270272,0.041746596,0.042433782,0.900949796,0.906829489,0.895070104,6.629927942
810,0.041933406,0.041301602,0.041686005,0.90245741,0.902758933,0.899592944,6.713425678
820,0.041921011,0.041309614,0.04168678,0.900648274,0.901854365,0.89914066,6.791988654
830,0.041896396,0.041262372,0.041681364,0.901402081,0.903211217,0.900045228,6.87208652
840,0.041854784,0.04122253,0.041635722,0.900949796,0.904115785,0.89914066,6.951857534
850,0.040361444,0.039685105,0.03987705,0.906527966,0.908638625,0.904115785,7.035676684
860,0.039080396,0.038306475,0.038469825,0.908638625,0.909090909,0.909090909,7.114605838
870,0.038335718,0.037533845,0.037548238,0.908487864,0.911804613,0.908638625,7.194517532
880,0.038124865,0.037690633,0.037516042,0.908337102,0.909543193,0.910900045,7.275073607
890,0.0374054,0.036831651,0.036783699,0.908638625,0.910900045,0.912256897,7.355514683
900,0.037335496,0.0367938,0.03673034,0.908186341,0.910447761,0.911352329,7.435192721
910,0.037357734,0.036819631,0.036684429,0.908487864,0.911352329,0.909543193,7.516424762
920,0.037343777,0.03689682,0.036619387,0.909392432,0.910900045,0.911352329,7.596088554
930,0.0373231,0.036584602,0.036615267,0.909844716,0.913161465,0.911352329,7.678950565
940,0.037151295,0.036431459,0.036599439,0.909995477,0.913613749,0.911804613,7.760916404
950,0.03692364,0.036216823,0.036298732,0.909392432,0.912709181,0.912709181,7.841201932
960,0.036782917,0.036094227,0.036075699,0.911503091,0.913161465,0.912709181,7.922930866
970,0.036591351,0.036103281,0.035949723,0.912709181,0.914066033,0.912709181,8.003513362
980,0.036534747,0.036103112,0.035960707,0.913010704,0.914066033,0.914518318,8.084478493
990,0.03643012,0.036013807,0.0359299,0.914518318,0.914970602,0.913613749,8.164630991
1000,0.036369529,0.035832022,0.036078575,0.914518318,0.912709181,0.911804613,8.247374761
1010,0.036203349,0.03559354,0.035987131,0.915724408,0.914970602,0.914518318,8.327517552
1020,0.035635757,0.035021964,0.035318371,0.916478215,0.913613749,0.914518318,8.407991179
