iter,time,reward,steps,convergence
84,4.214643999999934,21.0,81.0,2.0400782460127798
85,5.383106000000026,36.0,66.0,2.007655905541311
86,1.7147259999998887,19.0,83.0,1.980384510976121
87,5.684833000000111,66.0,36.0,1.9865036702818553
88,1.6986859999998938,-317.0,300.0,1.9829164473793746
89,3.5900570000000354,61.0,32.0,2.0486152953992276
90,2.3235090000000014,25.0,59.0,2.114904619895391
91,2.624302999999939,56.0,46.0,2.214712608743489
92,3.965895000000108,45.0,39.0,2.1532771089813982
93,2.896516000000071,44.0,58.0,2.1778193838447026
94,2.020485000000072,32.0,70.0,2.120142843748361
95,1.47860199999994,62.0,40.0,2.08772454822828
96,3.200740999999896,63.0,39.0,2.1668409625059835
97,3.784261999999927,63.0,39.0,2.1700096392108033
98,1.8545720000000543,65.0,37.0,2.1014344253153086
99,1.3502750000000674,70.0,32.0,2.041182831086044
100,5.942710999999878,61.0,41.0,2.0298514401214467
101,2.2528219999999877,64.0,38.0,1.9401760968403814
102,2.533337999999885,71.0,31.0,1.9748347921972982
103,1.903449000000057,64.0,38.0,1.9142345351932337
104,3.384983000000119,61.0,41.0,1.9069575630121054
105,2.3041999999999785,63.0,39.0,1.9060779684455906
106,4.333688000000002,71.0,31.0,1.7727911551172806
107,2.836019999999939,41.0,43.0,1.806111863547113
108,3.933237000000034,63.0,39.0,1.8299706765219266
109,4.317870999999807,62.0,40.0,1.7484099590226356
110,2.6419199999998533,70.0,32.0,1.7316442850573595
111,7.592295000000027,60.0,42.0,1.8561693227961613
112,3.151075000000114,55.0,38.0,1.8036929782888365
113,1.9675300000001616,64.0,38.0,1.7370020209409684
114,2.6866690000000304,53.0,40.0,1.7989009522130863
115,3.28700000000004,67.0,35.0,1.7432090562918965
116,2.1655759999998914,58.0,44.0,1.7414913276938442
117,1.52236299999986,59.0,43.0,1.730667418664438
118,2.157994000000052,55.0,47.0,1.806718904442149
119,1.9012679999999005,53.0,40.0,1.9016157013125532
120,5.381456000000062,52.0,50.0,1.9733914148533143
121,6.068729000000106,47.0,46.0,1.9349514028826955
122,4.910866999999985,49.0,53.0,1.9972255008353588
123,1.480506000000048,67.0,35.0,2.0337209506603076
124,2.7423100000001366,71.0,31.0,1.9166430485277317
125,6.865119999999836,47.0,37.0,2.0009160950937734
126,2.110309000000088,60.0,42.0,2.025278727758445
127,3.8942199999998373,64.0,38.0,2.03567641861349
128,3.1365139999999236,69.0,33.0,2.0441105202353804
129,2.4537749999999914,59.0,34.0,2.0424920829363913
130,2.4329640000000374,65.0,37.0,1.8790397800800913
